read finish, start analyze ...
read req num : 4190244606
Show Data Head 4190244606
req 0:	realTime1585440000	req82182178	klen27	vlen27	op1	ttl0
req 1:	realTime1585440000	req79588274	klen17	vlen765	op1	ttl0
req 2:	realTime1585440000	req66781482	klen27	vlen27	op1	ttl0
req 3:	realTime1585440000	req43495552	klen27	vlen27	op1	ttl0
req 4:	realTime1585440000	req341666	klen27	vlen27	op1	ttl0
req 5:	realTime1585440000	req82221282	klen16	vlen182	op4	ttl1209600
req 6:	realTime1585440000	req2969	klen27	vlen27	op1	ttl0
req 7:	realTime1585440000	req78542123	klen27	vlen27	op1	ttl0
req 8:	realTime1585440000	req3964366	klen20	vlen48	op1	ttl0
req 9:	realTime1585440000	req60495561	klen17	vlen736	op1	ttl0
req 10:	realTime1585440000	req4538953	klen27	vlen27	op1	ttl0
req 11:	realTime1585440000	req5802	klen27	vlen27	op1	ttl0
req 12:	realTime1585440000	req66340904	klen27	vlen27	op1	ttl0
req 13:	realTime1585440000	req80962656	klen17	vlen413	op1	ttl0
req 14:	realTime1585440000	req11110572	klen27	vlen27	op1	ttl0
req 15:	realTime1585440000	req74574082	klen27	vlen27	op1	ttl0
req 16:	realTime1585440000	req82070962	klen17	vlen541	op1	ttl0
req 17:	realTime1585440000	req356269	klen17	vlen344	op1	ttl0
req 18:	realTime1585440000	req77830185	klen27	vlen27	op1	ttl0
req 19:	realTime1585440000	req73539677	klen27	vlen27	op1	ttl0
req 20:	realTime1585440000	req80340591	klen27	vlen27	op1	ttl0
req 21:	realTime1585440000	req854293	klen17	vlen181	op1	ttl0
req 22:	realTime1585440000	req22737667	klen17	vlen1647	op4	ttl1209600
req 23:	realTime1585440000	req22737667	klen17	vlen1656	op2	ttl0
req 24:	realTime1585440000	req278884	klen27	vlen27	op1	ttl0
req 25:	realTime1585440000	req73512392	klen27	vlen27	op1	ttl0
req 26:	realTime1585440000	req81946373	klen27	vlen27	op1	ttl0
req 27:	realTime1585440000	req73209863	klen17	vlen452	op1	ttl0
req 28:	realTime1585440000	req29137	klen17	vlen667	op1	ttl0
req 29:	realTime1585440000	req29138	klen17	vlen1080	op1	ttl0
req 30:	realTime1585440000	req40088552	klen27	vlen27	op1	ttl0
req 31:	realTime1585440000	req387	klen17	vlen640	op1	ttl0
req 32:	realTime1585440000	req77878911	klen27	vlen27	op1	ttl0
req 33:	realTime1585440000	req81181724	klen27	vlen27	op1	ttl0
req 34:	realTime1585440000	req82221293	klen16	vlen0	op1	ttl0
req 35:	realTime1585440000	req1850639	klen17	vlen364	op1	ttl0
req 36:	realTime1585440000	req78542123	klen27	vlen27	op1	ttl0
req 37:	realTime1585440000	req82221289	klen27	vlen27	op4	ttl86400
req 38:	realTime1585440000	req8265719	klen17	vlen664	op1	ttl0
req 39:	realTime1585440000	req70671258	klen27	vlen27	op1	ttl0
req 40:	realTime1585440000	req149684	klen27	vlen27	op1	ttl0
req 41:	realTime1585440000	req22737667	klen17	vlen1647	op5	ttl1209600
req 42:	realTime1585440000	req52481881	klen27	vlen27	op1	ttl0
req 43:	realTime1585440000	req81341808	klen27	vlen27	op1	ttl0
req 44:	realTime1585440000	req82011	klen27	vlen27	op1	ttl0
req 45:	realTime1585440000	req79221059	klen27	vlen27	op1	ttl0
req 46:	realTime1585440000	req282	klen27	vlen27	op1	ttl0
req 47:	realTime1585440000	req4812891	klen17	vlen486	op1	ttl0
req 48:	realTime1585440000	req32188282	klen27	vlen27	op1	ttl0
req 49:	realTime1585440000	req3613808	klen17	vlen430	op1	ttl0
req 50:	realTime1585440000	req3111531	klen16	vlen224	op1	ttl0
req 51:	realTime1585440000	req78542123	klen27	vlen27	op1	ttl0
req 52:	realTime1585440000	req78461044	klen27	vlen27	op1	ttl0
req 53:	realTime1585440000	req39290131	klen27	vlen27	op1	ttl0
req 54:	realTime1585440000	req71326639	klen17	vlen730	op1	ttl0
req 55:	realTime1585440000	req82221123	klen17	vlen382	op1	ttl0
req 56:	realTime1585440000	req82221294	klen17	vlen0	op1	ttl0
req 57:	realTime1585440000	req40663036	klen27	vlen27	op1	ttl0
req 58:	realTime1585440000	req77297693	klen17	vlen139	op1	ttl0
req 59:	realTime1585440000	req951702	klen27	vlen27	op1	ttl0
req 60:	realTime1585440000	req78542123	klen27	vlen27	op1	ttl0
